,ags2,ags5,kreis,number_of_hospitals,number_of_hospital_beds,number_of_hospital_beds_adj,hospital_patiants
379,16,16052,Gera,1,972,10.3,27105
380,16,16053,Jena,1,1403,12.6,21160
381,16,16054,Suhl,1,511,14.7,11688
382,16,16055,Weimar,1,593,9.1,17169
383,16,16056,Eisenach,1,397,9.4,12816
384,16,16061,Eichsfeld,1,424,4.2,28616
385,16,16062,Nordhausen,3,984,11.7,23377
386,16,16063,Wartburgkreis,3,532,4.3,37097
387,16,16064,Unstrut-Hainich-Kreis,4,1284,12.5,29958
388,16,16065,Kyffhäuserkreis,1,462,6.2,23418
389,16,16066,Schmalkalden-Meiningen,3,715,5.8,38525
390,16,16067,Gotha,2,508,3.8,37451
391,16,16068,Sömmerda,-99,-99,-99.0,18802
392,16,16069,Hildburghausen,2,505,7.9,20895
393,16,16070,Ilm-Kreis,2,567,5.2,31384
394,16,16071,Weimarer Land,3,1053,12.8,21898
395,16,16072,Sonneberg,1,381,6.8,17780
396,16,16073,Saalfeld-Rudolstadt,3,994,9.3,30316
397,16,16074,Saale-Holzland-Kreis,3,654,7.9,20517
398,16,16075,Saale-Orla-Kreis,1,120,1.5,22511
399,16,16076,Greiz,2,403,4.1,29220
400,16,16077,Altenburger Land,2,618,6.9,27465
