,ags2,ags5,kreis,median_income,purchasing_power_per_household,purchasing_power_per_person,debtor_quota,household_in_income_calss_1,household_in_income_calss_2,household_in_income_calss_3,household_in_income_calss_4,household_in_income_calss_5,household_in_income_calss_6
150,07,07140,Rhein-Hunsrück-Kreis,3032,51766,24502,8.5,3733,8593,15823,8671,5921,5956
151,07,07141,Rhein-Lahn-Kreis,3018,46577,22867,10.9,5575,11007,20010,10651,6629,6156
152,07,07143,Westerwaldkreis,2958,56153,25363,11.0,3223,13391,29833,18034,13523,13021
153,07,07211,Stadt Trier,3153,38687,21191,9.9,6547,11378,19417,10658,6572,6014
154,07,07231,Bernkastel-Wittlich,2894,47700,22510,8.4,5525,9081,17085,9140,6460,5652
155,07,07232,Eifelkreis Bitburg-Prüm,3119,48660,22903,8.1,4210,7904,13323,8668,6481,5789
156,07,07233,Vulkaneifel,2948,46330,22224,8.5,4108,5316,8504,4664,3518,2948
157,07,07235,Trier-Saarburg,2899,49990,23628,6.6,4567,9471,19203,14074,10735,12321
158,07,07311,Stadt Frankenthal (Pfalz),3487,46026,22669,13.1,1405,5506,8931,3009,2388,2671
159,07,07312,Stadt Kaiserslautern,3407,33711,19344,14.9,16443,15283,11839,5848,3859,4002
160,07,07313,Stadt Landau in der Pfalz,3051,42818,21735,8.8,2219,4169,7035,4442,2893,2930
161,07,07314,Stadt Ludwigshafen a. Rh.,4534,40565,19762,15.7,5200,21209,31752,11594,7190,6376
162,07,07315,Stadt Mainz,3554,42278,22056,7.8,5588,15131,35982,25790,15011,15749
163,07,07316,Stadt Neustadt a.d. W.,2933,54362,27107,10.4,1898,3934,7107,4477,3751,5325
164,07,07317,Stadt Pirmasens,3031,35753,19903,18.2,5570,6607,6073,1855,1221,1156
165,07,07318,Stadt Speyer,3346,49964,24492,10.7,411,3281,9237,4359,3157,4234
166,07,07319,Stadt Worms,3102,42920,20863,15.5,5304,7555,12065,6626,4702,4239
167,07,07320,Stadt Zweibrücken,3348,39161,20388,12.7,2906,5031,4981,2163,1368,1356
168,07,07331,Alzey-Worms,2848,52700,23317,9.4,2578,8600,16366,11086,8854,9682
169,07,07332,Bad Dürkheim,2947,55376,26720,9.1,3325,8390,17028,12340,9520,13378
170,07,07333,Donnersbergkreis,3393,48814,22177,11.5,2599,6909,10253,5825,4462,4057
171,07,07334,Germersheim,3836,52848,23133,8.8,1115,5858,18677,11855,8670,10296
172,07,07335,Kaiserslautern,2892,41035,21649,10.6,10294,8703,14737,8313,6435,7465
173,07,07336,Kusel,2895,43170,21220,10.7,5293,7260,10585,4931,3446,3141
174,07,07337,Südliche Weinstraße,2986,54006,24579,7.9,2612,6347,13238,10342,7951,9713
175,07,07338,Rhein-Pfalz-Kreis,2851,58064,26379,7.9,1534,6898,19536,13973,11828,16263
176,07,07339,Mainz-Bingen,3333,58409,27011,8.0,2573,9372,26616,20459,15892,22583
177,07,07340,Südwestpfalz,2642,48596,23693,8.3,5324,8238,14174,7522,5683,5421
178,08,08111,Stuttgart,4351,52375,25962,10.4,8545,27059,81673,69440,56036,71862
179,08,08115,Böblingen,4596,54877,25674,6.9,2765,13566,50965,39290,31681,44845
180,08,08116,Esslingen,3740,53811,25918,7.3,6718,21687,71378,56161,43594,57440
181,08,08117,Göppingen,3428,51996,24677,8.5,5184,16691,37426,24677,17704,20342
