ags5,kreis,total area,Residential area percentage,industrial / commertial area percentage,dump area percentage,mining area percentage,"open pit, mine, quarry area percentage",mixed use area percentage,special functional character land percentage,"sport, leisure, recreation area percentage",cemetry area percentage,road area percentage,space area percentage,rail traffic area percentage,air traffic area percentage,shipping area percentage,agri area percentage,forrest area percentage,wood area percentage,health area percentage,moor area percentage,swamp area percentage,without vegetation area percentage,flowing water percentage,harbor basin percentage,standing water percentage,sea percentage
5111,Düsseldorf,217.4,21.89,9.71,0.0,0.0,0.0,5.77,3.41,8.21,1.32,1.75,0.94,1.12,2.88,0.56,20.35,11.72,3.68,0.0,0.01,0.0,0.77,3.92,0.26,1.73,0.0
5112,Duisburg,232.8,21.61,13.34,0.12,0.02,0.0,4.83,2.54,8.46,1.21,1.44,0.41,2.26,0.0,1.54,19.15,8.61,4.8,0.05,0.0,0.0,1.04,5.36,0.65,2.56,0.0
5113,Essen,210.3,32.86,10.72,0.1,0.06,0.0,3.77,3.18,8.41,1.61,1.18,0.49,0.74,0.15,0.06,15.78,13.74,4.45,0.0,0.0,0.03,0.27,0.94,0.09,1.35,0.0
5114,Krefeld,137.8,22.66,12.3,0.0,0.0,0.04,5.28,2.23,7.4,0.99,0.86,0.42,0.74,0.13,0.0,33.94,7.65,2.33,0.15,0.0,0.0,0.28,0.84,0.5,1.25,0.0
5116,Mönchengladbach,170.5,20.81,7.63,0.0,0.0,0.43,6.45,3.28,5.3,1.01,1.04,0.52,0.43,0.69,0.0,38.99,9.19,3.48,0.0,0.0,0.01,0.48,0.0,0.0,0.25,0.0
5117,Mülheim an der Ruhr,91.3,28.56,9.32,0.0,0.01,0.0,3.84,1.85,5.92,1.22,0.83,0.26,0.66,1.21,0.8,22.85,17.66,3.04,0.01,0.0,0.03,0.1,1.36,0.09,0.44,0.0
5119,Oberhausen,77.1,36.53,11.08,0.04,0.0,0.0,4.54,2.7,7.2,1.3,1.7,0.62,2.24,0.0,0.04,10.28,12.51,6.79,0.0,0.0,0.0,1.23,0.95,0.01,0.22,0.0
5120,Remscheid,74.5,21.89,8.27,0.0,0.0,0.0,4.54,1.68,2.87,0.72,0.5,0.24,0.24,0.0,0.0,24.17,30.29,3.1,0.0,0.0,0.0,0.34,0.05,0.0,1.1,0.0
5122,Solingen,89.5,27.94,6.87,0.0,0.0,0.0,6.19,1.66,3.27,1.01,0.28,0.25,0.13,0.0,0.0,21.64,26.57,3.22,0.0,0.02,0.0,0.12,0.48,0.0,0.37,0.0
5124,Wuppertal,168.4,22.07,7.99,0.11,0.0,0.64,6.36,2.16,5.88,0.92,0.86,0.23,0.7,0.0,0.0,21.2,25.77,4.09,0.01,0.0,0.0,0.13,0.36,0.0,0.56,0.0
5154,Kleve,1233.0,5.37,3.01,0.0,0.0,0.38,4.49,0.71,1.11,0.12,0.17,0.11,0.05,0.35,0.02,65.47,13.77,1.46,0.01,0.0,0.02,0.33,1.12,0.02,1.91,0.0
5158,Mettmann,407.2,17.81,6.66,0.0,0.0,0.51,4.33,1.73,3.7,0.53,0.9,0.21,0.25,0.07,0.0,38.79,18.53,3.77,0.01,0.05,0.0,0.45,0.44,0.0,1.26,0.0
5162,Rhein-Kreis Neuss,576.4,12.44,5.9,0.0,0.0,1.69,3.77,0.99,3.0,0.39,0.71,0.21,0.32,0.03,0.36,54.76,7.58,3.56,0.01,0.0,0.0,1.88,1.25,0.11,1.05,0.0
5166,Viersen,563.3,9.55,4.22,0.0,0.0,0.35,5.45,2.24,1.89,0.26,0.36,0.13,0.11,0.05,0.0,53.55,17.6,2.02,0.38,0.01,0.07,0.48,0.0,0.0,1.29,0.0
5170,Wesel,1042.8,8.25,3.27,0.16,0.06,0.47,4.42,0.73,1.71,0.22,0.28,0.13,0.11,0.07,0.03,55.87,16.96,2.34,0.07,0.06,0.07,0.43,1.5,0.07,2.72,0.0
5314,Bonn,141.1,27.32,5.03,0.0,0.0,0.0,3.43,5.63,5.01,0.98,1.3,0.34,0.52,0.0,0.05,14.25,29.45,2.69,0.0,0.0,0.0,0.16,3.63,0.0,0.21,0.0
5315,Köln,405.0,21.04,11.48,0.0,0.0,0.19,4.17,3.41,9.89,1.31,1.92,0.49,1.76,1.79,0.26,17.84,14.57,3.72,0.2,0.0,0.01,1.24,3.02,0.23,1.47,0.0
5316,Leverkusen,78.9,29.2,9.79,0.0,0.0,0.06,3.83,2.4,5.09,0.88,1.36,0.56,0.74,0.01,0.0,25.06,11.49,4.44,0.0,0.0,0.0,0.98,2.16,0.15,1.84,0.0
5334,Aachen,706.9,12.54,3.88,0.12,0.0,0.25,3.3,1.39,1.76,0.47,0.37,0.16,0.17,0.07,0.0,40.35,30.98,2.45,0.24,0.02,0.01,0.6,0.0,0.0,0.87,0.0
