ags2,ags5,kreis,number_accomodation_establishments,number_of_beds,number_of_guests,guests_staying_overnight
10,10045,Saarpfalz-Kreis,42,3302,110697,402459
10,10046,Landkreis St. Wendel,35,7261,265728,996398
11,11000,Berlin,798,146742,13502552,32871634
12,12051,Brandenburg an der Havel,46,1854,97694,235723
12,12052,Cottbus,21,1790,146108,266552
12,12053,Frankfurt (Oder),19,839,59536,138641
12,12054,Potsdam,58,6086,550173,1277928
12,12060,Barnim,91,6175,261933,905925
12,12061,Dahme-Spreewald,169,10128,840874,1813163
12,12062,Elbe-Elster,60,1830,58645,238070
12,12063,Havelland,68,2198,121081,259953
12,12064,Märkisch-Oderland,101,4696,200149,767318
12,12065,Oberhavel,106,3878,227295,496843
12,12066,Oberspreewald-Lausitz,96,4384,272848,765615
12,12067,Oder-Spree,131,9090,437844,1332397
12,12068,Ostprignitz-Ruppin,124,6621,332376,1083625
12,12069,Potsdam-Mittelmark,142,7625,448660,1311098
12,12070,Prignitz,79,2687,126828,275513
12,12071,Spree-Neiße,114,4713,273165,789362
12,12072,Teltow-Fläming,96,4422,260118,576450
12,12073,Uckermark,142,6569,339803,1012548
13,13003,"Rostock, Hansestadt",113,14958,818282,2139097
13,13004,"Schwerin, Landeshauptstadt",47,2748,209079,362429
13,13071,Mecklenburgische Seenplatte,408,44850,1050403,3639281
13,13072,Landkreis Rostock,359,35919,1151835,5022830
13,13073,Vorpommern-Rügen,925,91770,2229504,10024917
13,13074,Nordwestmecklenburg,195,21080,643147,2335845
13,13075,Vorpommern-Greifswald,563,53093,1392886,6228820
13,13076,Ludwigslust-Parchim,185,14246,379063,1131080
14,14511,Chemnitz,44,3506,267116,520996
14,14521,Erzgebirgskreis,274,12761,611082,1889450
14,14522,Mittelsachsen,160,6074,292258,648680
14,14523,Vogtlandkreis,152,8162,348893,1443185
14,14524,Zwickau,86,4627,249467,514743
14,14612,Dresden,184,23024,2247007,4604408
14,14625,Bautzen,161,5460,276778,749466
14,14626,Görlitz,212,9250,440782,1144285
14,14627,Meißen,138,5837,346604,756743
14,14628,Sächsische Schweiz-Osterzgebirge,338,16501,751778,2790744
14,14713,Leipzig,133,17686,1836797,3376257
14,14729,Leipzig,107,5321,238426,871799
14,14730,Nordsachsen,96,4771,271825,776001
15,15001,Dessau-Roßlau,26,1470,122642,202806
15,15002,Halle (Saale),41,2855,254159,429592
15,15003,Magdeburg,51,5661,405777,692213
15,15081,Altmarkkreis Salzwedel,53,4069,98342,351575
15,15082,Anhalt-Bitterfeld,59,3739,120324,240435
15,15083,Börde,55,5078,173334,449806
15,15084,Burgenlandkreis,116,6463,260715,727353
15,15085,Harz,344,21763,1003185,2791372
15,15086,Jerichower Land,44,2484,80721,155273
15,15087,Mansfeld-Südharz,70,3800,167668,368063
15,15088,Saalekreis,66,4338,223790,422542
15,15089,Salzlandkreis,69,3881,138316,431731
15,15090,Stendal,58,3328,142354,267370
15,15091,Wittenberg,84,6950,241359,704767
16,16051,Erfurt,66,5438,504212,879168
16,16052,Gera,15,1201,104524,172107
16,16053,Jena,28,2124,198505,334627
16,16054,Suhl,18,1815,91087,233175
16,16055,Weimar,46,4383,394516,743331
16,16056,Eisenach,30,2064,201388,336530
16,16061,Eichsfeld,48,2304,116130,330929
16,16062,Nordhausen,34,1785,79623,187366
16,16063,Wartburgkreis,91,4264,135088,775418
16,16064,Unstrut-Hainich-Kreis,46,2414,119606,407851
16,16065,Kyffhäuserkreis,42,2605,106940,357293
16,16066,Schmalkalden-Meiningen,118,5430,266952,620854
16,16067,Gotha,98,6098,334024,942050
16,16068,Sömmerda,19,677,28815,63209
16,16069,Hildburghausen,62,2883,94846,369756
16,16070,Ilm-Kreis,87,3418,156608,365902
16,16071,Weimarer Land,49,3291,167374,551760
16,16072,Sonneberg,40,1430,58099,183976
16,16073,Saalfeld-Rudolstadt,96,4128,160280,446439
16,16074,Saale-Holzland-Kreis,46,2082,99598,349616
16,16075,Saale-Orla-Kreis,67,2850,100450,328509
16,16076,Greiz,36,1545,65812,137514
16,16077,Altenburger Land,25,949,43698,96785
