ags2,ags5,kreis,number_of_hairdressers,number_of_restaurants,number_of_shops,number_of_companies,number_of_shopping_malls,number_of_clubs,number_of_education_places,number_of_shopping_places,number_of_free_time_places,number_of_tourism_places,number_of_tourism_places,number_of_food_and_drink_places,number_of_public_institution_places,number_of_traffic_places,number_of_health_places,number_of_business_places
07,07317,Stadt Pirmasens,69,83,160,3023,0,91,38,466,14,9,9,86,14,56,198,499
07,07318,Stadt Speyer,83,101,207,3470,1,111,45,488,25,23,23,130,20,61,230,577
07,07319,Stadt Worms,90,147,246,5109,1,225,70,731,30,29,29,175,30,78,334,793
07,07320,Stadt Zweibrücken,47,56,129,2163,41,92,45,335,9,9,9,70,13,37,153,331
07,07331,Alzey-Worms,171,177,285,8134,1,290,131,1123,39,84,84,178,52,129,416,1226
07,07332,Bad Dürkheim,187,253,335,9000,1,308,134,1174,41,164,164,369,66,132,482,1442
07,07333,Donnersbergkreis,93,99,168,4257,0,156,77,493,20,43,43,123,24,80,258,752
07,07334,Germersheim,179,141,304,6851,1,258,112,990,11,39,39,184,38,120,397,1266
07,07335,Kaiserslautern,158,190,254,6077,0,198,99,839,31,51,51,199,35,116,363,1187
07,07336,Kusel,103,102,149,3759,0,155,71,495,12,39,39,114,18,87,214,728
07,07337,Südliche Weinstraße,146,209,246,7837,0,273,85,1056,36,192,192,313,31,111,392,1167
07,07338,Rhein-Pfalz-Kreis,194,197,256,7726,0,246,109,1083,32,23,23,182,52,119,495,1396
07,07339,Mainz-Bingen,245,295,465,13394,2,506,183,1720,145,140,140,341,95,185,761,2200
07,07340,Südwestpfalz,155,163,150,5541,0,202,107,826,22,98,98,206,47,110,282,1006
08,08111,Stuttgart,621,887,1404,43565,11,2105,592,4426,324,182,182,1009,286,609,2572,6747
08,08115,Böblingen,421,449,1023,22720,11,667,361,2888,125,110,110,479,127,401,1232,4031
08,08116,Esslingen,552,588,1295,33700,5,882,504,4313,174,173,173,744,171,500,1874,6003
08,08117,Göppingen,310,308,720,15921,2,506,306,2253,71,113,113,449,87,280,919,2803
08,08118,Ludwigsburg,535,620,1193,30893,3,808,554,4044,190,138,138,600,186,455,1716,5562
08,08119,Rems-Murr-Kreis,497,513,1016,27285,1,696,453,3621,152,138,138,604,149,473,1507,4692
08,08121,Heilbronn,157,173,384,8573,3,303,133,1063,56,33,33,225,52,143,505,1368
08,08125,Heilbronn,440,399,742,21084,1,724,352,2694,80,144,144,520,175,376,973,3891
08,08126,Hohenlohekreis,116,134,268,6807,1,201,132,863,28,91,91,168,52,118,300,1211
08,08127,Schwäbisch Hall,220,226,561,12386,1,400,223,1637,75,131,131,311,96,235,588,2252
08,08128,Main-Tauber-Kreis,138,189,434,8420,0,283,156,1185,37,187,187,284,60,182,498,1334
08,08135,Heidenheim,141,153,378,7171,1,277,175,957,43,48,48,180,57,136,446,1242
08,08136,Ostalbkreis,384,417,877,18841,3,654,338,2601,121,155,155,565,124,323,1076,3276
08,08211,Baden-Baden,86,125,192,5137,1,150,45,572,30,76,76,154,31,64,361,799
08,08212,Karlsruhe,324,480,759,20156,4,680,241,2265,143,80,80,592,139,259,1485,2996
08,08215,Karlsruhe,558,609,1007,26582,2,815,408,3518,93,122,122,712,166,452,1592,4449
08,08216,Rastatt,286,312,610,13209,2,424,194,1726,60,132,132,401,86,249,749,2145
08,08221,Heidelberg,157,305,405,11274,3,553,136,1205,95,107,107,347,55,102,1046,1589
08,08222,Mannheim,367,556,737,20094,5,1044,296,2161,138,60,60,528,101,212,1312,2817
08,08225,Neckar-Odenwald-Kreis,154,196,400,8618,1,329,138,1150,35,114,114,188,84,178,463,1526
08,08226,Rhein-Neckar-Kreis,719,706,1331,33607,3,1039,386,4396,169,244,244,764,200,457,2082,5969
08,08231,Pforzheim,144,157,381,7722,3,275,125,1055,50,25,25,195,43,121,514,1094
08,08235,Calw,208,196,411,9926,1,311,193,1296,57,225,225,305,93,184,634,1735
08,08236,Enzkreis,232,164,434,12612,0,359,180,1601,40,67,67,242,100,211,623,2187
08,08237,Freudenstadt,143,196,412,8153,1,256,164,1043,41,270,270,318,56,151,446,1318
08,08311,Freiburg im Breisgau,224,331,553,16622,4,1052,297,1795,125,87,87,362,72,184,1563,2299
08,08315,Breisgau-Hochschwarzwald,292,427,676,18581,0,679,291,2244,89,689,689,688,108,283,1180,3175
08,08316,Emmendingen,192,228,432,10903,0,434,196,1400,41,239,239,327,55,170,656,1836
08,08317,Ortenaukreis,488,673,1201,28521,2,1004,473,3726,121,622,622,945,123,476,1694,4567
08,08325,Rottweil,182,196,410,9967,0,340,167,1310,50,86,86,259,52,179,534,1695
08,08326,Schwarzwald-Baar-Kreis,237,307,686,14040,2,385,200,1750,88,228,228,357,74,242,818,2257
08,08327,Tuttlingen,165,163,370,9264,0,291,139,1145,42,67,67,217,51,177,425,1454
08,08335,Konstanz,330,479,836,19544,4,790,304,2348,119,256,256,577,93,303,1269,2948
08,08336,Lörrach,301,407,648,13849,4,560,265,1799,78,287,287,474,142,255,879,2168
08,08337,Waldshut,227,299,551,10766,1,336,200,1579,54,298,298,416,56,213,689,1759
08,08415,Reutlingen,336,361,742,19149,2,492,308,2373,114,111,111,453,101,311,1025,3202
08,08416,Tübingen,197,270,501,13797,0,527,276,1484,82,83,83,314,95,202,1080,2202
08,08417,Zollernalbkreis,309,272,622,13603,1,439,232,1904,79,67,67,358,79,232,749,2136
08,08421,Ulm,126,214,352,8601,2,399,128,951,66,54,54,211,41,108,613,1164
08,08425,Alb-Donau-Kreis,193,223,493,11297,0,352,254,1497,40,109,109,309,82,197,546,2070
08,08426,Biberach,182,237,537,11274,0,337,260,1513,49,114,114,309,85,181,597,2034
08,08435,Bodenseekreis,249,380,537,14649,2,496,181,1922,81,491,491,493,80,242,909,2383
08,08436,Ravensburg,293,357,813,18775,1,566,374,2599,101,235,235,441,104,284,1178,3329
08,08437,Sigmaringen,136,195,404,8418,2,273,152,1205,42,95,95,254,57,179,448,1583
09,09161,Ingolstadt,133,200,463,7410,4,270,96,988,71,48,48,230,66,107,482,1195
09,09162,München,1396,2235,3400,123827,16,5267,1772,11041,596,494,494,1972,434,857,7656,16735
09,09163,Rosenheim,91,108,264,5519,1,182,51,698,25,23,23,122,34,58,360,867
09,09171,Altötting,125,123,348,6375,1,225,91,994,42,77,77,181,43,123,403,1088
09,09172,Berchtesgadener Land,116,205,345,8046,1,457,91,1128,52,752,752,298,60,133,521,1212
09,09173,Bad Tölz-Wolfratshausen,149,191,397,10507,0,354,101,1313,54,224,224,247,60,169,633,1981
09,09174,Dachau,137,168,406,9710,11,322,130,1196,28,49,49,206,119,181,490,1757
09,09175,Ebersberg,118,167,376,10053,1,373,115,1164,40,55,55,168,41,156,574,1781
09,09176,Eichstätt,113,148,349,6873,0,245,116,911,28,131,131,227,147,148,349,1207
09,09177,Erding,113,158,419,8612,2,253,118,1063,35,62,62,187,84,174,409,1696
09,09178,Freising,150,182,517,11221,3,403,153,1429,44,79,79,221,74,225,583,2156
09,09179,Fürstenfeldbruck,190,207,555,14085,6,414,181,1786,47,43,43,220,67,221,871,2715
09,09180,Garmisch-Partenkirchen,106,271,358,8156,1,257,80,1225,49,700,700,356,45,128,537,1405
09,09181,Landsberg am Lech,132,147,387,9319,1,369,105,1105,32,46,46,159,35,144,550,1827
09,09182,Miesbach,126,223,349,9665,0,316,83,1195,60,425,425,300,48,160,499,1644
09,09183,Mühldorf a.Inn,109,144,371,7242,0,226,84,1093,27,38,38,164,48,163,384,1414
09,09184,München,257,428,919,41640,5,1037,373,3029,137,151,151,412,124,349,1451,5069
09,09185,Neuburg-Schrobenhausen,97,112,323,5862,5,222,68,885,35,33,33,139,30,140,285,1067
09,09186,Pfaffenhofen a.d.Ilm,139,142,359,7819,0,220,91,1076,32,56,56,159,35,167,351,1415
09,09187,Rosenheim,264,408,700,20214,0,628,212,2618,87,413,413,501,125,342,1178,3740
09,09188,Starnberg,144,206,326,14729,0,413,135,1364,45,88,88,215,61,134,966,2230
09,09189,Traunstein,198,305,559,13274,1,461,134,1852,59,717,717,404,83,246,721,2253
09,09190,Weilheim-Schongau,155,180,453,10113,0,386,129,1312,53,89,89,236,56,162,662,1856
09,09261,Landshut,99,114,266,4770,2,178,49,645,27,24,24,130,22,64,358,688
09,09262,Passau,66,132,260,4568,2,168,53,580,27,36,36,132,40,63,325,598
09,09263,Straubing,85,90,248,3627,2,115,39,544,20,22,22,99,13,76,248,488
09,09271,Deggendorf,128,160,444,8019,1,310,93,1298,21,86,86,223,32,161,389,1485
09,09272,Freyung-Grafenau,68,121,286,5291,0,194,73,798,27,253,253,217,36,123,254,937
09,09273,Kelheim,120,164,382,7474,2,233,96,1091,33,178,178,229,108,147,354,1344
09,09274,Landshut,147,153,415,9257,0,258,111,1300,23,50,50,209,54,204,375,1748
09,09275,Passau,216,254,590,12470,0,373,160,1922,64,564,564,408,68,263,768,2146
09,09276,Regen,102,135,272,5684,3,195,67,854,34,505,505,273,28,122,258,883
09,09277,Rottal-Inn,121,132,425,8137,0,234,91,1133,23,93,93,193,37,165,409,1431
09,09278,Straubing-Bogen,85,126,252,5949,0,196,77,790,13,115,115,208,27,156,245,1014
09,09279,Dingolfing-Landau,102,98,262,5404,0,193,55,826,23,50,50,158,27,127,289,836
09,09361,Amberg,59,66,210,2995,0,110,37,524,19,18,18,81,22,57,237,448
09,09362,Regensburg,167,280,584,11307,5,535,159,1270,81,65,65,296,59,167,770,1483
09,09363,Weiden i.d.OPf.,58,77,236,3592,1,97,35,532,23,14,14,105,16,50,230,510
09,09371,Amberg-Sulzbach,80,137,225,5796,0,261,85,861,22,83,83,204,70,130,317,1198
09,09372,Cham,148,216,437,8853,1,260,104,1386,47,347,347,383,80,184,404,1552
09,09373,Neumarkt i.d.OPf.,135,170,423,8430,1,280,104,1211,41,85,85,247,182,192,416,1505
09,09374,Neustadt a.d.Waldnaab,96,138,243,5778,1,154,86,893,24,105,105,233,58,118,289,1086
09,09375,Regensburg,177,227,445,10936,1,387,133,1486,29,74,74,289,74,210,611,1941
09,09376,Schwandorf,164,231,459,8982,4,318,107,1397,35,117,117,303,74,182,452,1505
09,09377,Tirschenreuth,82,114,241,4786,0,138,65,780,14,125,125,200,49,86,248,843
09,09461,Bamberg,102,171,288,5933,0,241,91,808,43,76,76,211,40,90,482,777
09,09462,Bayreuth,99,137,322,5284,1,239,80,640,52,28,28,173,39,79,403,758
09,09463,Coburg,69,81,183,3097,0,119,45,483,21,22,22,113,16,58,246,487
09,09464,Hof,61,83,219,3363,0,133,46,497,22,24,24,113,20,65,212,487
