ags2,ags5,kreis,supermarkets_population,supermarkets_average_distance,public_transport availability,average_distance_bus_stop,average_distance_train_station,average_distance_public_transport
6,6433,Groß-Gerau,89,584,43,387,1406,372
6,6434,Hochtaunus,82,753,48,375,2019,350
6,6435,Main-Kinzig,76,874,38,512,2290,478
6,6436,Main-Taunus,82,720,48,413,1150,358
6,6437,Odenwaldkreis,54,1720,35,450,3695,436
6,6438,Offenbach,91,540,46,306,1067,292
6,6439,Rheingau-Taunus,60,1295,36,438,3513,396
6,6440,Wetterau,68,1014,37,482,2132,449
6,6531,Gießen,71,990,37,409,2778,398
6,6532,Lahn-Dill,61,1162,35,477,3167,451
6,6533,Limburg-Weilburg,58,1295,37,556,2561,482
6,6534,Marburg-Biedenkopf,63,1217,35,455,3082,448
6,6535,Vogelsberg,50,1788,26,737,4281,724
6,6611,Kreisfreie Stadt Kassel,97,409,66,289,2081,250
6,6631,Fulda,61,1320,35,568,3157,545
6,6632,Hersfeld-Rotenburg,55,1481,34,571,3365,545
6,6633,Kassel,72,1007,43,538,3338,470
6,6634,Schwalm-Eder,53,1558,33,619,3593,595
6,6635,Waldeck-Frankenberg,57,1686,33,628,3495,608
6,6636,Werra-Meißner,58,1493,36,500,3385,493
7,7111,Stadt Koblenz,79,719,58,234,1466,230
7,7131,Ahrweiler,54,1453,36,383,2835,372
7,7132,Altenkirchen (Ww),49,1495,36,635,2232,515
7,7133,Bad Kreuznach,45,1905,36,648,3223,631
7,7134,Birkenfeld,49,1621,32,810,3768,784
7,7135,Cochem-Zell,32,2606,34,886,3493,801
7,7137,Mayen-Koblenz,62,1407,38,614,2420,489
7,7138,Neuwied,55,1247,31,518,3960,507
7,7140,Rhein-Hunsrück-Kreis,45,2143,19,743,3611,733
7,7141,Rhein-Lahn-Kreis,48,1721,36,694,2667,645
7,7143,Westerwaldkreis,42,1679,34,625,3857,575
7,7211,Stadt Trier,78,704,39,246,1600,236
7,7231,Bernkastel-Wittlich,41,2066,24,829,4845,792
7,7232,Eifelkreis Bitburg-Prüm,36,2782,18,1285,4554,1219
7,7233,Vulkaneifel,35,2603,24,1045,4088,901
