_id,ags2,bundesland,ags5,kreis,kr_ein_md,kr_schu_qu,kr_hh_eink_kl1,kr_hh_eink_kl2,kr_hh_eink_kl3,kr_hh_eink_kl4,kr_hh_eink_kl5,kr_hh_eink_kl6,kr_kk_hh,kr_kk_ew
185,08,Baden-Württemberg,08121,Heilbronn,3372,11.2,1360,4343,19387,14601,10611,12862,64706,32463
186,08,Baden-Württemberg,08125,Heilbronn,3771,7.2,3714,14945,43323,34274,25196,32323,55811,25037
187,08,Baden-Württemberg,08126,Hohenlohekreis,3559,6.4,2708,5743,15430,10795,7993,8317,54510,24835
188,08,Baden-Württemberg,08127,Schwäbisch Hall,3283,7.1,5510,12695,25637,17742,13380,14675,52801,24183
189,08,Baden-Württemberg,08128,Main-Tauber-Kreis,3189,6.3,4590,10100,18240,11327,8218,8587,51178,23637
190,08,Baden-Württemberg,08135,Heidenheim,3580,8.4,4703,11236,18016,11192,8061,7552,49992,22946
191,08,Baden-Württemberg,08136,Ostalbkreis,3672,7.2,9773,17084,39700,29738,23248,26104,53887,25015
192,08,Baden-Württemberg,08211,Baden-Baden,3303,10.1,2648,3858,8093,4983,4166,5644,59217,31592
193,08,Baden-Württemberg,08212,Karlsruhe,3682,9.4,4046,14210,55410,39341,23654,20124,45975,23029
194,08,Baden-Württemberg,08215,Karlsruhe,3341,7.7,5882,21344,56281,42944,34496,42892,53184,24416
195,08,Baden-Württemberg,08216,Rastatt,3764,7.7,3733,13470,32711,21798,16311,18757,51312,23731
196,08,Baden-Württemberg,08221,Heidelberg,3718,6.3,2858,5224,23461,16622,16381,17176,46830,23872
197,08,Baden-Württemberg,08222,Mannheim,3829,14.0,11880,32787,65238,28459,15561,13710,39389,21347
198,08,Baden-Württemberg,08225,Neckar-Odenwald-Kreis,3148,8.0,5156,10820,20777,12331,8544,7918,49992,22850
199,08,Baden-Württemberg,08226,Rhein-Neckar-Kreis,3517,8.1,7216,29018,77810,55317,42111,53488,53230,25765
200,08,Baden-Württemberg,08231,Pforzheim,3249,14.6,1640,11249,25775,10623,6549,6473,46778,23225
201,08,Baden-Württemberg,08235,Calw,3187,8.6,8965,10686,18185,14306,11592,12324,50409,24227
202,08,Baden-Württemberg,08236,Enzkreis,3275,7.2,2394,9302,23556,19565,15470,19900,57379,26037
203,08,Baden-Württemberg,08237,Freudenstadt,3396,7.6,4404,7060,14902,10647,8308,8161,55494,25187
204,08,Baden-Württemberg,08311,Freiburg im Breisgau,3471,8.1,3119,11326,33174,24555,25337,20518,43778,22446
205,08,Baden-Württemberg,08315,Breisgau-Hochschwarzwald,3086,7.2,2472,8876,32104,29256,22895,26483,54246,25227
206,08,Baden-Württemberg,08316,Emmendingen,3203,7.1,1136,5741,22419,18017,13127,14871,52228,23802
207,08,Baden-Württemberg,08317,Ortenaukreis,3189,8.3,6403,24564,58804,42913,30884,32580,52446,23978
208,08,Baden-Württemberg,08325,Rottweil,3382,8.0,4478,9037,17917,12239,9421,10298,56598,25752
209,08,Baden-Württemberg,08326,Schwarzwald-Baar-Kreis,3271,9.2,7999,16390,30436,18934,13705,14693,52368,25208
210,08,Baden-Württemberg,08327,Tuttlingen,3493,9.2,2279,8039,18536,13244,10009,10504,57888,25879
211,08,Baden-Württemberg,08335,Konstanz,3267,10.2,3672,17140,42553,28681,23847,29859,49694,25398
212,08,Baden-Württemberg,08336,Lörrach,3382,8.8,2096,8749,29653,24811,18755,25070,57571,27502
213,08,Baden-Württemberg,08337,Waldshut,3117,8.9,2463,8897,23603,18227,12442,14752,54727,25813
