_id,id,ags2,bundesland,ags5,kreis,kr_pkw_dichte,kr_mob_weg_2017,kr_mob_km_2017,kr_mob_ah_2017,kr_mob_fuss_2017,kr_mob_rad_2017,kr_mob_mivmf_2017,kr_mob_mivf_2017,kr_mob_oev_2017,kr_mob_oevw_2017,kr_mob_idx_2017,kr_mob_weg_f2020,kr_mob_weg_h2020,kr_mob_km_f2020,kr_mob_km_h2020,kr_mob_ah_f2020,kr_mob_ah_h2020,kr_mob_idx_f2020,kr_mob_idx_h2020,kr_mob_oev_f2020,kr_mob_oev_h2020,kr_mob_oevw_f2020,kr_mob_oevw_h2020
80,80,05,Nordrhein-Westfalen,05315,Köln,362,3.16867,36.4544,86.5,26.9,16.4,10.6,28.7,17.3,548.17991,66.611899037,2.218069,2.534936,29.16352,21.87264,82.175,77.85,35.437530288,28.776340384,6.92,11.245,153.4903748,285.0535532
81,81,05,Nordrhein-Westfalen,05316,Leverkusen,478,3.10797,37.0086,84.8,22.0,12.9,14.3,38.6,12.1,376.06437,65.025555016,2.175579,2.486376,29.60688,22.20516,80.56,76.32,34.593595268,28.091039767,4.84,7.865,105.2980236,195.5534724
82,82,05,Nordrhein-Westfalen,05334,Aachen,470,3.20379,38.5384,84.6,23.9,9.1,14.1,41.7,11.2,358.82448,69.636482462,2.4028425,2.563032,28.9038,26.97688,80.37,76.14,37.211995316,35.096787161,5.6,7.84,134.55918,200.9417088
83,83,05,Nordrhein-Westfalen,05358,Düren,569,3.11466,38.8332,83.4,18.7,8.7,14.5,49.8,8.3,258.51678,67.24943138,2.335995,2.491728,29.1249,27.18324,79.23,75.06,35.936414894,33.893713415,4.15,5.81,96.9437925,144.7693968
84,84,05,Nordrhein-Westfalen,05362,Rhein-Erft-Kreis,541,3.12176,36.3226,84.0,22.9,13.7,14.2,38.3,10.9,340.27184,63.498646275,2.34132,2.497408,27.24195,25.42582,79.8,75.6,33.932089103,32.003317722,5.45,7.63,127.60194,190.5522304
85,85,05,Nordrhein-Westfalen,05366,Euskirchen,601,3.04128,40.391,84.5,20.0,6.3,16.2,50.0,7.5,228.096,69.20005847,2.28096,2.433024,30.29325,28.2737,80.275,76.05,36.978781245,34.876829469,3.75,5.25,85.536,127.73376
86,86,05,Nordrhein-Westfalen,05370,Heinsberg,578,3.05503,41.2361,84.4,19.4,9.5,14.6,47.8,8.6,262.73258,70.883352707,2.2912725,2.444024,30.927075,28.86527,80.18,75.96,37.878291603,35.725209764,4.3,6.02,98.5247175,147.1302448
87,87,05,Nordrhein-Westfalen,05374,Oberbergischer Kreis,591,2.95805,36.7923,83.6,20.9,3.8,16.6,50.9,7.7,227.76985,60.65651672,2.2185375,2.36644,27.594225,25.75461,79.42,75.24,32.413326122,30.570884427,3.85,5.39,85.41369375,127.551116
88,88,05,Nordrhein-Westfalen,05378,Rheinisch-Bergischer Kreis,580,2.95125,38.4144,85.1,22.9,6.2,14.9,45.7,10.2,301.0275,64.318862532,2.2134375,2.361,28.8108,26.89008,80.845,76.59,34.370392166,32.416706716,5.1,7.14,112.8853125,168.5754
89,89,05,Nordrhein-Westfalen,05382,Rhein-Sieg-Kreis,563,3.1074,44.1114,86.3,20.5,9.0,15.2,45.3,10.0,310.74,78.861955095,2.33055,2.48592,33.08355,30.87798,81.985,77.67,42.141857254,39.746425368,5.0,7.0,116.5275,174.0144
90,90,05,Nordrhein-Westfalen,05512,Bottrop,540,3.14036,37.6533,84.9,22.7,11.4,13.1,42.0,10.9,342.29924,66.926623128,2.198252,2.512288,30.12264,22.59198,80.655,76.41,35.604963504,28.912301191,4.36,7.085,95.8437872,177.9956048
91,91,05,Nordrhein-Westfalen,05513,Gelsenkirchen,427,2.99965,31.5512,83.6,26.2,8.5,14.1,38.6,12.6,377.9559,52.747451813,2.099755,2.39972,25.24096,18.93072,79.42,75.24,28.061644364,22.786899183,5.04,8.19,105.827652,196.537068
92,92,05,Nordrhein-Westfalen,05515,Münster,395,3.12046,34.477,85.4,20.6,30.2,11.2,28.9,9.2,287.08232,61.251213936,2.184322,2.496368,27.5816,20.6862,81.13,76.86,32.585645814,26.460524421,3.68,5.98,80.3830496,149.2828064
93,93,05,Nordrhein-Westfalen,05554,Borken,536,3.28949,38.8309,85.8,15.5,23.7,13.8,40.6,6.5,213.81685,73.063766342,2.4671175,2.631592,29.123175,27.18163,81.51,77.22,39.043450139,36.824138236,3.25,4.55,80.18131875,119.737436
