_id,ags2,bundesland,ags5,kreis,kr_schuel,kr_schuel_vor,kr_schuel_grund,kr_schuel_haupt,kr_schuel_real,kr_schuel_gym,kr_schuel_waldorf,kr_schuel_geschul,kr_schuel_abend,kr_schuel_sonder,kr_schuel_orient,kr_schuel_mult,kr_schueler,kr_student,kr_azubi
125,06,Hessen,06435,Main-Kinzig,42029,373,14392,1964,6251,11821,-99,5731,-99,1303,194,-99,42465,1566,12181
126,06,Hessen,06436,Main-Taunus,25543,98,9350,954,3527,9135,-99,1503,-99,563,413,-99,23906,4159,3844
127,06,Hessen,06437,Odenwaldkreis,9488,44,3310,311,854,2812,-99,1301,-99,481,7,368,10099,79,1471
128,06,Hessen,06438,Offenbach,36229,277,12950,1803,4726,11328,435,2698,141,882,989,-99,35322,4146,6256
129,06,Hessen,06439,Rheingau-Taunus,18143,61,6095,441,1998,6390,-99,2329,-99,658,171,-99,18903,7683,1554
130,06,Hessen,06440,Wetterau,32751,159,11166,1407,3281,11979,503,1355,-99,832,1119,950,33055,1900,6916
131,06,Hessen,06531,Gießen,26834,157,8465,656,1274,6748,-99,6992,273,1115,917,237,27443,33965,8246
132,06,Hessen,06532,Lahn-Dill,24967,110,9090,796,2010,6069,-99,4890,94,748,302,858,25824,2500,8213
133,06,Hessen,06533,Limburg-Weilburg,17821,116,5745,1075,2628,5021,-99,1312,23,548,333,1020,17440,512,7649
134,06,Hessen,06534,Marburg-Biedenkopf,24087,144,7991,845,1850,7526,442,1604,271,916,1689,809,25310,22906,7269
135,06,Hessen,06535,Vogelsberg,9430,76,3474,517,1111,2636,-99,596,50,171,799,-99,10191,114,3040
136,06,Hessen,06611,Kreisfreie Stadt Kassel,20450,152,6568,560,1479,6199,845,2547,282,1111,396,311,21880,20358,13294
137,06,Hessen,06631,Fulda,22534,137,7784,1678,5398,5711,533,-99,-99,860,433,-99,23362,8240,8347
138,06,Hessen,06632,Hersfeld-Rotenburg,11602,107,4030,486,1049,3024,-99,1445,273,379,809,-99,12090,7,3732
139,06,Hessen,06633,Kassel,21223,113,7799,654,1233,5205,-99,4268,-99,696,909,346,18827,4001,2694
140,06,Hessen,06634,Schwalm-Eder,18297,106,6181,840,1813,5776,-99,1554,-99,968,1059,-99,18403,226,3736
141,06,Hessen,06635,Waldeck-Frankenberg,15662,102,5269,846,2544,4418,-99,438,-99,926,684,435,16733,75,4708
