_id,id,ags2,bundesland,ags5,kreis,kr_hh,kr_hh_1p,kr_hh_2p,kr_hh_3p,kr_hh_4p,kr_hh_5p,kr_hh_kind,kr_hh_k_00u03,kr_hh_k_03u06,kr_hh_k_06u10,kr_hh_k_10u15,kr_hh_k_15u18,kr_hh_dinks
132,132,06,Hessen,06532,Lahn-Dill,123516,34542,61000,16299,10167,1508,27387,4344,4446,5825,7064,4536,17517
133,133,06,Hessen,06533,Limburg-Weilburg,85765,24841,44164,9626,5999,1114,16187,2521,2588,3369,4266,2885,12104
134,134,06,Hessen,06534,Marburg-Biedenkopf,119969,39664,48991,17640,11379,1993,29712,4454,4579,6202,8192,4561,14776
135,135,06,Hessen,06535,Vogelsberg,50081,12164,25525,7680,3925,740,10915,1477,1607,2347,3237,1554,6609
136,136,06,Hessen,06611,Kreisfreie Stadt Kassel,110756,54523,32842,11026,9575,1778,23801,4416,3893,4882,6196,3624,10985
137,137,06,Hessen,06631,Fulda,108014,38191,40069,16604,10888,2109,27914,4321,4396,5801,7732,4362,12200
138,138,06,Hessen,06632,Hersfeld-Rotenburg,58560,16236,28431,8492,4682,683,12993,1990,2042,2676,3685,1958,7766
139,139,06,Hessen,06633,Kassel,115200,31950,57270,15296,9338,1346,25083,3977,4081,5331,6477,4111,16624
140,140,06,Hessen,06634,Schwalm-Eder,86537,22713,43216,12547,7109,952,18934,2676,3009,4073,5133,2994,12176
141,141,06,Hessen,06635,Waldeck-Frankenberg,77319,23983,35330,11078,5865,1063,16696,2419,2563,3472,4687,2723,9665
142,142,06,Hessen,06636,Werra-Meißner,51421,15203,26589,6325,2957,347,8946,1326,1428,1911,2333,1475,6829
143,143,07,Rheinland-Pfalz,07111,Stadt Koblenz,59291,27600,17227,7107,6189,1168,14844,2641,2400,3003,3901,2169,6071
144,144,07,Rheinland-Pfalz,07131,Ahrweiler,61799,17417,28705,9025,5518,1134,14676,2324,2322,3018,3803,2387,8421
145,145,07,Rheinland-Pfalz,07132,Altenkirchen (Ww),61119,16227,29408,9606,4695,1183,13769,2016,2138,2868,3726,2094,8029
146,146,07,Rheinland-Pfalz,07133,Bad Kreuznach,76256,22441,35146,11051,6044,1574,17845,2890,2788,3711,4653,2866,10072
147,147,07,Rheinland-Pfalz,07134,Birkenfeld,41368,12380,21457,4998,2041,427,6887,1069,1029,1405,1794,1122,5312
148,148,07,Rheinland-Pfalz,07135,Cochem-Zell,28654,5667,16284,4130,1978,595,5982,852,888,1149,1702,1009,4113
149,149,07,Rheinland-Pfalz,07137,Mayen-Koblenz,99957,28014,43795,16215,9813,2120,26980,4362,4194,5483,7257,4365,13538
150,150,07,Rheinland-Pfalz,07138,Neuwied,85806,24246,38467,13116,8526,1451,21740,3402,3446,4519,5845,3563,11242
151,151,07,Rheinland-Pfalz,07140,Rhein-Hunsrück-Kreis,48723,12808,23160,8127,3806,822,11609,1718,1804,2366,3051,1866,6445
152,152,07,Rheinland-Pfalz,07141,Rhein-Lahn-Kreis,60048,19421,25813,8684,4890,1066,13689,2093,2201,2808,3595,2085,7297
153,153,07,Rheinland-Pfalz,07143,Westerwaldkreis,91057,20498,43309,16841,8225,2184,25207,3754,3785,5162,6769,3893,12915
154,154,07,Rheinland-Pfalz,07211,Stadt Trier,60601,29858,17620,6484,5277,823,12652,2176,2032,2511,3225,1905,6019
155,155,07,Rheinland-Pfalz,07231,Bernkastel-Wittlich,52972,12028,28297,7740,3908,909,11482,1721,1822,2316,3153,1727,7655
156,156,07,Rheinland-Pfalz,07232,Eifelkreis Bitburg-Prüm,46391,11161,23614,7455,3249,904,9369,1476,1473,1971,2436,1453,5842
157,157,07,Rheinland-Pfalz,07233,Vulkaneifel,29071,6196,16887,3861,1635,492,5099,689,771,1053,1454,836,3835
158,158,07,Rheinland-Pfalz,07235,Trier-Saarburg,70398,17940,34513,11147,5566,1232,16638,2525,2754,3586,4249,2558,10028
